ID;RFERR;ARCH1;ARCH2;QSURF;QPERC;ESOIL;QINTF;Q_TDH;SNOWM
1;additive_e;tension1_1;tens2pll_2;arno_x_vic;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index
2;multiplc_e;tension1_1;tens2pll_2;arno_x_vic;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index
3;additive_e;tension2_1;tens2pll_2;arno_x_vic;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index
4;multiplc_e;tension2_1;tens2pll_2;arno_x_vic;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index
5;additive_e;onestate_1;tens2pll_2;arno_x_vic;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index
6;multiplc_e;onestate_1;tens2pll_2;arno_x_vic;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index
7;additive_e;tension1_1;unlimfrc_2;arno_x_vic;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index
8;multiplc_e;tension1_1;unlimfrc_2;arno_x_vic;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index
9;additive_e;tension2_1;unlimfrc_2;arno_x_vic;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index
10;multiplc_e;tension2_1;unlimfrc_2;arno_x_vic;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index
11;additive_e;onestate_1;unlimfrc_2;arno_x_vic;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index
12;multiplc_e;onestate_1;unlimfrc_2;arno_x_vic;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index
13;additive_e;tension1_1;unlimpow_2;arno_x_vic;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index
14;multiplc_e;tension1_1;unlimpow_2;arno_x_vic;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index
15;additive_e;tension2_1;unlimpow_2;arno_x_vic;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index
16;multiplc_e;tension2_1;unlimpow_2;arno_x_vic;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index
17;additive_e;onestate_1;unlimpow_2;arno_x_vic;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index
18;multiplc_e;onestate_1;unlimpow_2;arno_x_vic;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index
19;additive_e;tension1_1;fixedsiz_2;arno_x_vic;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index
20;multiplc_e;tension1_1;fixedsiz_2;arno_x_vic;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index
21;additive_e;tension2_1;fixedsiz_2;arno_x_vic;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index
22;multiplc_e;tension2_1;fixedsiz_2;arno_x_vic;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index
23;additive_e;onestate_1;fixedsiz_2;arno_x_vic;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index
24;multiplc_e;onestate_1;fixedsiz_2;arno_x_vic;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index
25;additive_e;tension1_1;tens2pll_2;prms_varnt;perc_f2sat;sequential;intflwnone;rout_gamma;temp_index
